"id","question","answer","date_added","next_appearance","tags"
"1","Lei de Coulomb","F = k \frac{ |q_1 \cdot q_2| }{r^2}","2024-11-26 12:00:00","2024-12-14 20:31:12.702289","física"
"2","Lei dos Gases Ideais","PV = nRT","2024-11-26 12:00:00","2024-12-14 20:31:15.432868","química"
"3","Princípio da Incerteza","\Delta x \cdot \Delta p \geq \frac{h}{4\pi}","2024-11-26 12:00:00","2024-12-11 20:31:19.540139","física"
"4","Volume do Cubo","V = a^3","2024-11-26 12:00:00","2024-12-14 20:41:23.099133","matemática"
"5","Área da Superfície do Cubo","A = 6a^2","2024-11-26 12:00:00","2024-12-14 20:41:28.191006","matemática"
"6","Expansão binomial","(a + b)^n = \sum_{k=0}^{n} C_n^k a^{n-k}b^k","2024-11-27 00:20:16","2024-12-11 20:41:34.486421","matemática"
"7","Teorema de Pitágoras","a^2 + b^2 = c^2","2024-11-27 03:30:09","2024-12-12 20:41:36.746079","geometria,triângulos"
"8","Equação de Torricelli","v^2 = v_0^2 + 2a\Delta s","2024-11-27 03:30:09","2024-12-12 20:41:39.011194","cinemática,física"
"10","Fórmula de Bhaskara","x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}","2024-11-27 03:30:09","2024-12-12 20:41:40.983628","álgebra,equações quadráticas"
"11","Frequência de uma Onda","f = \frac{v}{\lambda}","2024-11-27 03:30:09","2024-12-12 20:41:43.508751","ondulatória,física"
"12","Energia Cinética","E_c = \frac{mv^2}{2}","2024-11-27 03:30:09","2024-12-12 21:40:58.568658","mecânica,física"
"13","Lei da Gravitação Universal","F = G\frac{m_1m_2}{r^2}","2024-11-27 03:30:09","2024-12-12 21:41:01.777187","gravitação,física"
"14","Lei de Ohm","V = RI","2024-11-27 03:30:09","2024-12-12 21:41:03.875552","eletrodinâmica,física"
"15","Quantidade de Movimento","p = mv","2024-11-27 03:30:09","2024-12-12 21:41:06.777881","mecânica,física"
"16","Capacidade de um Capacitor","C = \frac{Q}{V}","2024-11-27 03:30:09","2024-11-28 00:48:57.595830","eletrostática,física"
